Sun Apr  7 23:14:41 2019    /home/pi/ballance/Ballance/PythonCode/stats

         14936588 function calls (14873155 primitive calls) in 77.027 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3188    0.013    0.000    0.013    0.000 <frozen importlib._bootstrap>:159(__init__)
  706/225    0.012    0.000    0.318    0.001 sre_parse.py:429(_parse_sub)
    11007    0.012    0.000    0.013    0.000 python_message.py:1521(Modified)
      783    0.012    0.000    2.555    0.003 traceback.py:196(extract_stack)
  669/100    0.012    0.000    0.060    0.001 python_message.py:990(__eq__)
     4611    0.012    0.000    0.019    0.000 python_message.py:658(getter)
    11276    0.012    0.000    0.012    0.000 {method 'setdefault' of 'dict' objects}
       27    0.012    0.000    0.012    0.000 mmalobj.py:1425(__getitem__)
      901    0.012    0.000    0.058    0.000 copy.py:67(copy)
        1    0.011    0.011    0.021    0.021 mimetypes.py:205(readfp)
       83    0.011    0.000    0.081    0.001 op_def_registry.py:28(register_op_list)
     1338    0.011    0.000    0.044    0.000 python_message.py:831(ListFields)
     3259    0.011    0.000    0.013    0.000 python_message.py:816(_IsPresent)
     4771    0.011    0.000    0.012    0.000 {built-in method from_bytes}
      180    0.011    0.000    0.050    0.000 inspect.py:1051(getfullargspec)
     3474    0.011    0.000    0.015    0.000 tf_export.py:174(set_attr)
      446    0.011    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:1268(_fill_cache)
     2004    0.011    0.000    0.018    0.000 version.py:114(_parse_version_parts)
     3437    0.011    0.000    0.015    0.000 posixpath.py:50(normcase)
       65    0.011    0.000    0.068    0.001 distribution.py:132(__new__)
    16310    0.011    0.000    0.011    0.000 {built-in method _imp.release_lock}
     1727    0.010    0.000    0.014    0.000 {method 'extend' of 'list' objects}
      444    0.010    0.000    0.125    0.000 decorator_utils.py:76(add_notice_to_docstring)
     3045    0.010    0.000    0.010    0.000 {built-in method _imp.is_frozen}
    10108    0.010    0.000    0.010    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
     4127    0.010    0.000    0.013    0.000 inspect.py:158(isfunction)
       15    0.010    0.001    0.011    0.001 mmalobj.py:1104(commit)
     1732    0.010    0.000    0.074    0.000 fromnumeric.py:2083(any)
     1166    0.010    0.000    0.010    0.000 {built-in method _codecs.utf_8_decode}
      302    0.010    0.000    1.065    0.004 ops.py:2408(__call__)
        4    0.010    0.002    0.010    0.002 mmalobj.py:2216(disable)
      573    0.010    0.000    0.010    0.000 pyparsing.py:1121(__init__)
     2531    0.009    0.000    0.013    0.000 <frozen importlib._bootstrap>:419(parent)
     2530    0.009    0.000    0.009    0.000 <frozen importlib._bootstrap>:314(__enter__)
      751    0.009    0.000    0.177    0.000 sre_compile.py:221(_compile_charset)
     3045    0.009    0.000    0.019    0.000 <frozen importlib._bootstrap>:789(find_spec)
        8    0.009    0.001    0.009    0.001 {built-in method builtins.compile}
     1961    0.009    0.000    0.021    0.000 tf_decorator.py:104(unwrap)
